City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
210,Coquimbo,CL,61.84,clear sky,-29.9533,-71.3436,Punto de encuentro
211,Huangmei,CN,64.62,broken clouds,30.1924,116.025,Tianxiachan Hotel
215,Lata,PT,59.07,clear sky,40.1629,-8.3327,Casa Maquia
216,Half Moon Bay,US,60.91,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
217,Cidreira,BR,70.61,overcast clouds,-30.1811,-50.2056,Hotel Castelo
218,Lebu,CL,58.39,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
220,Puri,IN,70.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
224,La Paz,BO,59.61,broken clouds,-16.5,-68.15,Hotel Sagarnaga
228,Mastic Beach,US,55.45,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
234,Lompoc,US,62.1,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
235,Saint Anthony,US,61.34,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
236,Wanxian,CN,60.21,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
238,Nadadores,MX,62.24,clear sky,27.05,-101.6,Hacienda Las Catalinas
244,Jardim,BR,70.27,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
248,Deming,US,74.25,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
252,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
257,Fuerte Olimpo,PY,63.25,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
258,Guadalajara,MX,71.98,clear sky,20.6667,-103.3333,Hotel Aranzazú
259,Houma,US,64.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
260,Sturgeon Bay,US,55.22,clear sky,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
261,Luderitz,NA,65.52,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
263,Bardiyah,LY,71.55,scattered clouds,31.7561,25.0865,بورتو بردية
264,Reconquista,AR,68.58,overcast clouds,-29.15,-59.65,Grand Hotel
265,Lumphat,KH,73.87,scattered clouds,13.4878,106.9816,Lumphat Homestay
268,Kiunga,PG,73.4,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
270,Mercedes,AR,72.86,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
273,Faya,SA,62.71,clear sky,18.3851,42.4509,املاك خالد الشعشوع
276,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
277,Port Macquarie,AU,60.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
279,Canberra,AU,58.44,thunderstorm with heavy rain,-35.2835,149.1281,Novotel Canberra
283,Curup,ID,69.08,overcast clouds,-3.4667,102.5333,Ayi The Costel
293,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
297,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
302,Carson City,US,59.13,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
304,Russell,US,58.96,clear sky,32.3502,-85.1999,Macs
305,Tatawin,TN,74.28,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
307,Morwell,AU,60.91,broken clouds,-38.2333,146.4,Morwell Motel
313,Coolum Beach,AU,65.1,light rain,-26.5333,153.1,Palmer Coolum Resort
314,Chuy,UY,66.81,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
315,Yatou,CN,56.59,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
316,Aldama,MX,74.62,scattered clouds,22.9167,-98.0667,CASA CANYE
317,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
318,Dallas,US,64.04,clear sky,32.7668,-96.7836,CANVAS Hotel | Dallas
321,Gornoye Loo,RU,58.32,scattered clouds,43.7129,39.6049,Vaterloo
324,Bundaberg,AU,72.21,scattered clouds,-24.85,152.35,Takalvan Motel
339,Broken Hill,AU,66.22,light rain,-31.95,141.4333,Royal Exchange Hotel
