City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,San Patricio,US,2021-10-31 22:07:03,28.017,-97.5169,86.09,40,0,13.09
91,Kamaishi,JP,2021-10-31 22:08:04,39.2667,141.8833,54.73,78,14,4.45
92,Karonga,MW,2021-10-31 22:08:04,-9.9333,33.9333,78.57,63,14,2.98
93,Coquimbo,CL,2021-10-31 22:06:54,-29.9533,-71.3436,60.53,72,75,11.5
94,Fortuna,US,2021-10-31 22:08:05,40.5982,-124.1573,67.93,62,1,5.99
95,Bonga,ET,2021-10-31 22:08:06,7.2833,36.2333,58.42,72,37,2.86
96,Bengkulu,ID,2021-10-31 22:08:06,-3.8004,102.2655,76.17,88,100,4.38
97,Carnarvon,AU,2021-10-31 22:04:47,-24.8667,113.6333,66.27,72,75,18.41
98,Oban,GB,2021-10-31 22:08:07,56.4127,-5.4706,46.38,89,96,2.55
99,Bambous Virieux,MU,2021-10-31 22:08:07,-20.3428,57.7575,71.85,83,40,3.44
100,Constitucion,CL,2021-10-31 22:01:24,-35.3333,-72.4167,56.37,81,93,3.13
101,Yerbogachen,RU,2021-10-31 22:04:13,61.2767,108.0108,18.86,83,100,4.27
102,Xushan,CN,2021-10-31 22:08:08,30.1764,121.2457,61.95,83,72,3.85
103,Alice Springs,AU,2021-10-31 22:08:08,-23.7,133.8833,62.15,82,29,4.61
104,Mackay,AU,2021-10-31 22:08:09,-21.15,149.2,75.69,77,92,19.62
105,Ibra,OM,2021-10-31 22:08:09,22.6906,58.5334,76.64,25,0,5.95
106,Devils Lake,US,2021-10-31 22:08:10,48.1128,-98.8651,37.94,60,90,10.0
107,Townsville,AU,2021-10-31 22:08:10,-19.25,146.8,79.68,89,40,12.66
108,Saskylakh,RU,2021-10-31 22:08:10,71.9167,114.0833,9.01,96,98,6.06
109,Cape Town,ZA,2021-10-31 22:05:26,-33.9258,18.4232,65.08,69,100,1.99
110,Acapulco,MX,2021-10-31 22:08:11,16.8634,-99.8901,84.02,74,75,4.61
111,Victoria,HK,2021-10-31 22:08:12,22.2855,114.1577,76.32,83,89,1.99
112,Ponta Delgada,PT,2021-10-31 22:04:38,37.7333,-25.6667,72.5,88,75,8.05
113,Kemin,KG,2021-10-31 22:08:12,42.7846,75.6892,36.9,72,21,2.82
