City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Mahanje,TZ,2021-11-05 23:17:24,-9.9333,35.3333,65.88,46,37,3.22
108,Chokurdakh,RU,2021-11-05 23:17:24,70.6333,147.9167,-9.13,91,37,5.23
109,Puerto Ayora,EC,2021-11-05 23:17:25,-0.7393,-90.3518,69.48,77,42,10.09
110,Fuengirola,ES,2021-11-05 23:17:25,36.54,-4.6247,59.85,50,0,12.66
111,Porirua,NZ,2021-11-05 23:15:16,-41.1333,174.85,57.42,61,100,10.0
112,Egvekinot,RU,2021-11-05 23:17:26,66.3167,-179.1667,-5.42,81,1,6.15
113,Saint-Philippe,RE,2021-11-05 23:17:26,-21.3585,55.7679,71.22,79,0,5.91
114,Guilin,CN,2021-11-05 23:17:27,25.2819,110.2864,71.71,98,93,1.77
115,Qasigiannguit,GL,2021-11-05 23:17:27,68.8193,-51.1922,25.05,72,13,7.05
116,Biltine,TD,2021-11-05 23:17:28,14.5333,20.9167,81.86,23,58,8.28
117,Ilulissat,GL,2021-11-05 23:17:28,69.2167,-51.1,24.82,50,62,3.44
118,Mahebourg,MU,2021-11-05 23:17:29,-20.4081,57.7,75.49,88,40,6.91
119,Dingle,PH,2021-11-05 23:17:29,10.9995,122.6711,78.71,89,84,4.36
120,Sitka,US,2021-11-05 23:17:29,57.0531,-135.33,48.09,66,40,9.22
121,Akyab,MM,2021-11-05 23:17:30,20.15,92.9,73.78,82,91,7.36
122,Amloh,IN,2021-11-05 23:17:30,30.6084,76.2319,64.56,39,21,7.14
123,Wasilla,US,2021-11-05 23:17:31,61.5814,-149.4394,36.01,82,90,3.44
124,Chuy,UY,2021-11-05 23:17:31,-33.6971,-53.4616,59.67,67,100,18.05
125,Si Racha,TH,2021-11-05 23:17:32,13.1737,100.9311,81.9,79,64,4.59
126,Jalu,LY,2021-11-05 23:17:32,29.0331,21.5482,72.5,35,0,7.4
127,Coihaique,CL,2021-11-05 23:17:33,-45.5752,-72.0662,57.15,54,0,11.5
128,Linhares,BR,2021-11-05 23:17:33,-19.3911,-40.0722,72.39,83,85,6.91
129,Hithadhoo,MV,2021-11-05 23:17:33,-0.6,73.0833,81.66,74,100,14.25
