City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
127,Asfi,MA,2021-11-06 17:16:17,32.2994,-9.2372,65.64,51,0,27.27,clear sky
128,Hambantota,LK,2021-11-06 17:16:17,6.1241,81.1185,79.63,79,100,13.71,moderate rain
129,Asau,RO,2021-11-06 17:16:18,46.4333,26.4,49.95,57,100,0.67,overcast clouds
130,Udachnyy,RU,2021-11-06 17:16:18,66.4167,112.4,-8.01,96,98,5.41,overcast clouds
131,Bongandanga,CD,2021-11-06 17:16:19,1.5,21.05,79.11,67,90,1.39,overcast clouds
132,Mangaratiba,BR,2021-11-06 17:16:19,-22.9597,-44.0406,79.66,72,83,6.24,broken clouds
133,Bridgton,US,2021-11-06 17:16:19,44.0548,-70.7128,51.58,50,2,2.59,clear sky
134,Hobyo,SO,2021-11-06 17:17:20,5.3505,48.5268,81.25,65,23,11.43,few clouds
135,Nome,US,2021-11-06 17:17:20,64.5011,-165.4064,19.47,74,90,8.05,overcast clouds
136,Joshimath,IN,2021-11-06 17:17:21,30.5667,79.5667,49.57,37,52,7.07,broken clouds
137,Portland,US,2021-11-06 17:16:17,45.5234,-122.6762,51.37,87,75,5.01,moderate rain
138,Vostok,RU,2021-11-06 17:17:21,46.4856,135.8833,16.7,88,100,3.29,overcast clouds
139,Lavrentiya,RU,2021-11-06 17:17:22,65.5833,-171.0,3.67,81,29,8.34,scattered clouds
140,Zernograd,RU,2021-11-06 17:17:22,46.8452,40.3083,49.95,68,100,2.91,overcast clouds
141,Tilichiki,RU,2021-11-06 17:17:22,60.4667,166.1,21.29,96,99,3.09,overcast clouds
142,Ribeira Grande,PT,2021-11-06 17:17:23,38.5167,-28.7,72.0,83,40,23.02,scattered clouds
143,Mar Del Plata,AR,2021-11-06 17:17:23,-38.0023,-57.5575,53.87,77,88,10.0,overcast clouds
144,Longyearbyen,SJ,2021-11-06 17:17:24,78.2186,15.6401,21.04,53,75,11.5,broken clouds
145,Garden Acres,US,2021-11-06 17:17:24,37.9638,-121.2294,61.45,87,1,4.61,clear sky
146,Tecoanapa,MX,2021-11-06 17:17:24,16.5167,-98.75,84.43,63,73,2.01,broken clouds
147,College,US,2021-11-06 17:17:25,64.8569,-147.8028,26.55,86,75,0.0,broken clouds
148,Glenwood Springs,US,2021-11-06 17:12:47,39.5505,-107.3248,56.35,38,1,4.61,clear sky
149,Tiksi,RU,2021-11-06 17:17:25,71.6872,128.8694,-4.72,93,72,12.57,broken clouds
150,Kahului,US,2021-11-06 17:17:26,20.8947,-156.47,79.84,73,40,11.5,scattered clouds
151,Santa Barbara,US,2021-11-06 17:14:56,34.7333,-120.0343,56.34,41,2,2.55,clear sky
152,Verkh-Usugli,RU,2021-11-06 17:17:26,52.7,115.1667,10.72,84,22,3.47,few clouds
153,Damietta,EG,2021-11-06 17:17:27,31.4165,31.8133,74.61,71,28,11.99,scattered clouds
154,Sao Filipe,CV,2021-11-06 17:17:28,14.8961,-24.4956,80.94,69,33,10.0,scattered clouds
155,Gat,IL,2021-11-06 17:17:03,31.61,34.7642,77.68,55,47,4.81,scattered clouds
156,Puerto Cabezas,NI,2021-11-06 17:17:28,14.0351,-83.3888,85.96,79,75,11.5,broken clouds
157,Chimbarongo,CL,2021-11-06 17:17:29,-34.7,-71.05,74.71,20,0,6.69,clear sky
158,Luanda,AO,2021-11-06 17:15:43,-8.8368,13.2343,77.4,83,68,18.37,broken clouds
159,Arraial Do Cabo,BR,2021-11-06 17:17:29,-22.9661,-42.0278,76.96,60,20,12.66,few clouds
160,Mtimbira,TZ,2021-11-06 17:17:30,-8.7833,36.35,85.23,32,57,4.56,broken clouds
161,Nuevo Progreso,MX,2021-11-06 17:17:30,23.1667,-97.95,77.47,55,5,4.0,clear sky
162,Avera,US,2021-11-06 17:17:30,33.194,-82.5271,52.38,49,100,14.99,overcast clouds
